id,type,owner,coords,direction,speed,rhum,impact,source
0,SHIP,1,"(13,18)",2.0,1.0,99.0,,
1,SHIP,0,"(9,12)",5.0,1.0,91.0,,
5,MINE,0,"(12,14)",,,,,
34,CANNONBALL,0,"(14,18)",,,,4.0,1.0
8,BARREL,0,"(8,8)",,,13.0,,
11,BARREL,0,"(3,12)",,,18.0,,
10,BARREL,0,"(3,8)",,,18.0,,
15,BARREL,0,"(5,16)",,,15.0,,
14,BARREL,0,"(5,4)",,,15.0,,
17,BARREL,0,"(2,17)",,,18.0,,
16,BARREL,0,"(2,3)",,,18.0,,
21,BARREL,0,"(12,16)",,,11.0,,
20,BARREL,0,"(12,4)",,,11.0,,
25,BARREL,0,"(1,16)",,,17.0,,
24,BARREL,0,"(1,4)",,,17.0,,
27,BARREL,0,"(7,18)",,,10.0,,
26,BARREL,0,"(7,2)",,,10.0,,
30,BARREL,0,"(13,2)",,,17.0,,
